Country,date,Avg Temp (F)
Germany,2/3/20,50
Germany,2/4/20,40
Germany,2/5/20,42
Germany,2/6/20,34
Germany,2/7/20,32
Germany,2/10/20,52
Germany,2/11/20,44
Germany,2/12/20,43
Germany,2/13/20,45
Germany,2/14/20,48
Germany,2/17/20,52
Germany,2/18/20,46
Germany,2/19/20,44
Germany,2/20/20,49
Germany,2/21/20,45
Germany,2/22/20,50
Germany,2/23/20,52
Germany,2/24/20,54
Germany,2/25/20,48
Germany,2/26/20,39
Germany,2/27/20,41
Germany,2/28/20,44
Germany,2/29/20,54
Germany,3/2/20,43
Germany,3/3/20,43
Germany,3/4/20,45
Germany,3/5/20,48
Germany,3/6/20,43
Germany,3/9/20,47
Germany,3/10/20,46
Germany,3/11/20,57
Germany,3/12/20,55
Germany,3/13/20,49
Germany,3/16/20,59
Germany,3/17/20,58
Germany,3/18/20,58
Germany,3/19/20,59
Germany,3/25/20,45
Germany,2/1/20,51
Germany,2/2/20,49
Germany,2/3/20,50
Germany,2/4/20,40
Germany,2/5/20,39
Germany,2/6/20,38
Germany,2/7/20,38
Germany,2/8/20,42
Germany,2/9/20,50
Germany,2/10/20,47
Germany,2/11/20,41
Germany,2/12/20,41
Germany,2/13/20,40
Germany,2/14/20,44
Germany,2/15/20,47
Germany,2/16/20,58
Germany,2/17/20,47
Germany,2/18/20,45
Germany,2/19/20,41
Germany,2/20/20,46
Germany,2/21/20,43
Germany,2/22/20,46
Germany,2/23/20,50
Germany,2/24/20,45
Germany,2/25/20,47
Germany,2/26/20,38
Germany,2/27/20,36
Germany,2/28/20,39
Germany,2/29/20,48
Germany,3/1/20,45
Germany,3/2/20,43
Germany,3/3/20,41
Germany,3/4/20,42
Germany,3/5/20,42
Germany,3/6/20,42
Germany,3/7/20,43
Germany,3/8/20,48
Germany,3/9/20,46
Germany,3/10/20,50
Germany,3/11/20,54
Germany,3/12/20,51
Germany,3/13/20,44
Germany,3/14/20,45
Germany,3/15/20,51
Germany,3/16/20,52
Germany,3/17/20,51
Germany,3/18/20,51
Germany,3/19/20,53
Germany,3/20/20,49
Germany,3/21/20,44
Germany,3/22/20,41
Germany,3/23/20,40
Germany,3/24/20,40
Germany,3/25/20,44
Germany,2/1/20,52
Germany,2/2/20,45
Germany,2/3/20,45
Germany,2/4/20,41
Germany,2/5/20,38
Germany,2/6/20,40
Germany,2/7/20,42
Germany,2/8/20,42
Germany,2/9/20,49
Germany,2/10/20,45
Germany,2/11/20,41
Germany,2/12/20,40
Germany,2/13/20,39
Germany,2/14/20,39
Germany,2/15/20,43
Germany,2/16/20,54
Germany,2/17/20,49
Germany,2/18/20,44
Germany,2/19/20,42
Germany,2/20/20,41
Germany,2/21/20,43
Germany,2/22/20,47
Germany,2/23/20,44
Germany,2/24/20,42
Germany,2/25/20,46
Germany,2/26/20,37
Germany,2/27/20,38
Germany,2/28/20,39
Germany,2/29/20,45
Germany,3/1/20,45
Germany,3/2/20,43
Germany,3/3/20,40
Germany,3/4/20,39
Germany,3/5/20,42
Germany,3/6/20,42
Germany,3/7/20,40
Germany,3/8/20,42
Germany,3/9/20,45
Germany,3/10/20,44
Germany,3/11/20,50
Germany,3/12/20,50
Germany,3/13/20,43
Germany,3/14/20,38
Germany,3/15/20,43
Germany,3/16/20,49
Germany,3/17/20,49
Germany,3/18/20,53
Germany,3/19/20,52
Germany,3/20/20,46
Germany,3/21/20,40
Germany,3/22/20,36
Germany,3/23/20,36
Germany,3/24/20,38
Germany,3/25/20,41
Germany,2/1/20,53
Germany,2/2/20,50
Germany,2/3/20,51
Germany,2/4/20,42
Germany,2/5/20,39
Germany,2/6/20,32
Germany,2/7/20,35
Germany,2/8/20,35
Germany,2/9/20,45
Germany,2/10/20,48
Germany,2/11/20,43
Germany,2/12/20,39
Germany,2/13/20,38
Germany,2/14/20,44
Germany,2/15/20,42
Germany,2/16/20,56
Germany,2/17/20,48
Germany,2/18/20,45
Germany,2/19/20,43
Germany,2/20/20,45
Germany,2/21/20,42
Germany,2/22/20,46
Germany,2/23/20,51
Germany,2/24/20,46
Germany,2/25/20,47
Germany,2/26/20,40
Germany,2/27/20,37
Germany,2/28/20,40
Germany,2/29/20,47
Germany,3/1/20,47
Germany,3/2/20,44
Germany,3/3/20,41
Germany,3/4/20,40
Germany,3/5/20,43
Germany,3/6/20,43
Germany,3/7/20,43
Germany,3/8/20,46
Germany,3/9/20,47
Germany,3/10/20,46
Germany,3/11/20,58
Germany,3/12/20,53
Germany,3/13/20,44
Germany,3/14/20,41
Germany,3/15/20,46
Germany,3/16/20,49
Germany,3/17/20,52
Germany,3/18/20,49
Germany,3/19/20,52
Germany,3/20/20,54
Germany,3/21/20,43
Germany,3/22/20,40
Germany,3/23/20,37
Germany,3/24/20,38
Germany,3/25/20,41
Germany,2/1/20,55
Germany,2/2/20,53
Germany,2/3/20,52
Germany,2/4/20,43
Germany,2/5/20,42
Germany,2/6/20,37
Germany,2/7/20,38
Germany,2/8/20,41
Germany,2/9/20,51
Germany,2/10/20,50
Germany,2/11/20,45
Germany,2/12/20,41
Germany,2/13/20,40
Germany,2/14/20,47
Germany,2/15/20,48
Germany,2/16/20,60
Germany,2/17/20,48
Germany,2/18/20,46
Germany,2/19/20,45
Germany,2/20/20,47
Germany,2/21/20,45
Germany,2/22/20,49
Germany,2/23/20,54
Germany,2/24/20,49
Germany,2/25/20,48
Germany,2/26/20,40
Germany,2/27/20,38
Germany,2/28/20,43
Germany,2/29/20,53
Germany,3/1/20,51
Germany,3/2/20,45
Germany,3/3/20,42
Germany,3/4/20,42
Germany,3/5/20,44
Germany,3/6/20,45
Germany,3/7/20,45
Germany,3/8/20,49
Germany,3/9/20,48
Germany,3/10/20,46
Germany,3/11/20,58
Germany,3/12/20,55
Germany,3/13/20,48
Germany,3/14/20,46
Germany,3/15/20,54
Germany,3/16/20,56
Germany,3/17/20,55
Germany,3/18/20,55
Germany,3/19/20,59
Germany,3/20/20,57
Germany,3/21/20,43
Germany,3/22/20,46
Germany,3/23/20,41
Germany,3/24/20,43
Germany,3/25/20,44
Germany,2/1/20,52
Germany,2/2/20,47
Germany,2/3/20,48
Germany,2/4/20,40
Germany,2/5/20,39
Germany,2/6/20,39
Germany,2/7/20,41
Germany,2/8/20,42
Germany,2/9/20,51
Germany,2/10/20,46
Germany,2/11/20,41
Germany,2/12/20,40
Germany,2/13/20,39
Germany,2/14/20,44
Germany,2/15/20,48
Germany,2/16/20,56
Germany,2/17/20,47
Germany,2/18/20,45
Germany,2/19/20,42
Germany,2/20/20,46
Germany,2/21/20,44
Germany,2/22/20,48
Germany,2/23/20,46
Germany,2/24/20,43
Germany,2/25/20,45
Germany,2/26/20,38
Germany,2/27/20,37
Germany,2/28/20,39
Germany,2/29/20,48
Germany,3/1/20,45
Germany,3/2/20,44
Germany,3/3/20,42
Germany,3/4/20,42
Germany,3/5/20,41
Germany,3/6/20,39
Germany,3/7/20,44
Germany,3/8/20,48
Germany,3/9/20,46
Germany,3/10/20,49
Germany,3/11/20,52
Germany,3/12/20,49
Germany,3/13/20,42
Germany,3/14/20,43
Germany,3/15/20,51
Germany,3/16/20,50
Germany,3/17/20,50
Germany,3/18/20,53
Germany,3/19/20,51
Germany,3/20/20,44
Germany,3/21/20,39
Germany,3/22/20,39
Germany,3/23/20,39
Germany,3/24/20,40
Germany,3/25/20,42
Germany,2/1/20,51
Germany,2/2/20,43
Germany,2/3/20,45
Germany,2/4/20,40
Germany,2/5/20,37
Germany,2/6/20,42
Germany,2/7/20,42
Germany,2/8/20,42
Germany,2/9/20,49
Germany,2/10/20,43
Germany,2/11/20,39
Germany,2/12/20,38
Germany,2/13/20,37
Germany,2/14/20,40
Germany,2/15/20,47
Germany,2/16/20,54
Germany,2/17/20,46
Germany,2/18/20,44
Germany,2/19/20,42
Germany,2/20/20,43
Germany,2/21/20,43
Germany,2/22/20,46
Germany,2/23/20,42
Germany,2/24/20,41
Germany,2/25/20,43
Germany,2/26/20,37
Germany,2/27/20,38
Germany,2/28/20,40
Germany,2/29/20,45
Germany,3/1/20,43
Germany,3/2/20,43
Germany,3/3/20,42
Germany,3/4/20,39
Germany,3/5/20,42
Germany,3/6/20,40
Germany,3/7/20,40
Germany,3/8/20,47
Germany,3/9/20,46
Germany,3/10/20,47
Germany,3/11/20,49
Germany,3/12/20,46
Germany,3/13/20,40
Germany,3/14/20,38
Germany,3/15/20,49
Germany,3/16/20,47
Germany,3/17/20,45
Germany,3/18/20,50
Germany,3/19/20,45
Germany,3/20/20,43
Germany,3/21/20,38
Germany,3/22/20,37
Germany,3/23/20,37
Germany,3/24/20,39
Germany,3/25/20,41
Germany,2/1/20,52
Germany,2/2/20,45
Germany,2/3/20,47
Germany,2/4/20,40
Germany,2/5/20,36
Germany,2/6/20,40
Germany,2/7/20,41
Germany,2/8/20,43
Germany,2/9/20,52
Germany,2/10/20,43
Germany,2/11/20,39
Germany,2/12/20,40
Germany,2/13/20,38
Germany,2/14/20,43
Germany,2/15/20,49
Germany,2/16/20,58
Germany,2/17/20,47
Germany,2/18/20,45
Germany,2/19/20,41
Germany,2/20/20,45
Germany,2/21/20,44
Germany,2/22/20,50
Germany,2/23/20,46
Germany,2/24/20,42
Germany,2/25/20,45
Germany,2/26/20,37
Germany,2/27/20,39
Germany,2/28/20,41
Germany,2/29/20,52
Germany,3/1/20,47
Germany,3/2/20,44
Germany,3/3/20,42
Germany,3/4/20,41
Germany,3/5/20,43
Germany,3/6/20,40
Germany,3/7/20,43
Germany,3/8/20,49
Germany,3/9/20,47
Germany,3/10/20,46
Germany,3/11/20,51
Germany,3/12/20,49
Germany,3/13/20,43
Germany,3/14/20,46
Germany,3/15/20,52
Germany,3/16/20,54
Germany,3/17/20,53
Germany,3/18/20,55
Germany,3/19/20,52
Germany,3/20/20,45
Germany,3/21/20,42
Germany,3/22/20,40
Germany,3/23/20,40
Germany,3/24/20,42
Germany,3/25/20,44
Germany,2/1/20,53
Germany,2/2/20,44
Germany,2/3/20,45
Germany,2/4/20,38
Germany,2/5/20,35
Germany,2/6/20,36
Germany,2/7/20,38
Germany,2/8/20,37
Germany,2/9/20,43
Germany,2/10/20,45
Germany,2/11/20,39
Germany,2/12/20,38
Germany,2/13/20,38
Germany,2/14/20,41
Germany,2/15/20,42
Germany,2/16/20,52
Germany,2/17/20,50
Germany,2/18/20,44
Germany,2/19/20,41
Germany,2/20/20,40
Germany,2/21/20,41
Germany,2/22/20,47
Germany,2/23/20,47
Germany,2/24/20,42
Germany,2/25/20,47
Germany,2/26/20,37
Germany,2/27/20,37
Germany,2/28/20,36
Germany,2/29/20,41
Germany,3/1/20,46
Germany,3/2/20,43
Germany,3/3/20,40
Germany,3/4/20,40
Germany,3/5/20,41
Germany,3/6/20,43
Germany,3/7/20,38
Germany,3/8/20,42
Germany,3/9/20,44
Germany,3/10/20,43
Germany,3/11/20,50
Germany,3/12/20,51
Germany,3/13/20,42
Germany,3/14/20,38
Germany,3/15/20,42
Germany,3/16/20,47
Germany,3/17/20,47
Germany,3/18/20,51
Germany,3/19/20,52
Germany,3/20/20,43
Germany,3/21/20,37
Germany,3/22/20,31
Germany,3/23/20,31
Germany,3/24/20,33
Germany,3/25/20,36
Germany,2/1/20,52
Germany,2/2/20,45
Germany,2/3/20,47
Germany,2/4/20,40
Germany,2/5/20,36
Germany,2/6/20,37
Germany,2/7/20,40
Germany,2/8/20,40
Germany,2/9/20,49
Germany,2/10/20,46
Germany,2/11/20,38
Germany,2/12/20,38
Germany,2/13/20,38
Germany,2/14/20,41
Germany,2/15/20,43
Germany,2/16/20,55
Germany,2/17/20,48
Germany,2/18/20,44
Germany,2/19/20,41
Germany,2/20/20,41
Germany,2/21/20,42
Germany,2/22/20,47
Germany,2/23/20,48
Germany,2/24/20,42
Germany,2/25/20,47
Germany,2/26/20,37
Germany,2/27/20,38
Germany,2/28/20,38
Germany,2/29/20,44
Germany,3/1/20,44
Germany,3/2/20,44
Germany,3/3/20,40
Germany,3/4/20,39
Germany,3/5/20,41
Germany,3/6/20,43
Germany,3/7/20,40
Germany,3/8/20,43
Germany,3/9/20,45
Germany,3/10/20,44
Germany,3/11/20,51
Germany,3/12/20,51
Germany,3/13/20,43
Germany,3/14/20,38
Germany,3/15/20,43
Germany,3/16/20,49
Germany,3/17/20,48
Germany,3/18/20,51
Germany,3/19/20,52
Germany,3/20/20,44
Germany,3/21/20,38
Germany,3/22/20,33
Germany,3/23/20,33
Germany,3/24/20,33
Germany,3/25/20,35
Germany,2/1/20,51
Germany,2/2/20,48
Germany,2/3/20,47
Germany,2/4/20,40
Germany,2/5/20,36
Germany,2/6/20,31
Germany,2/7/20,31
Germany,2/8/20,34
Germany,2/9/20,43
Germany,2/10/20,48
Germany,2/11/20,40
Germany,2/12/20,36
Germany,2/13/20,37
Germany,2/14/20,42
Germany,2/15/20,42
Germany,2/16/20,50
Germany,2/17/20,47
Germany,2/18/20,43
Germany,2/19/20,40
Germany,2/20/20,40
Germany,2/21/20,41
Germany,2/22/20,46
Germany,2/23/20,50
Germany,2/24/20,43
Germany,2/25/20,46
Germany,2/26/20,37
Germany,2/27/20,36
Germany,2/28/20,36
Germany,2/29/20,42
Germany,3/1/20,45
Germany,3/2/20,45
Germany,3/3/20,40
Germany,3/4/20,35
Germany,3/5/20,38
Germany,3/6/20,43
Germany,3/7/20,39
Germany,3/8/20,40
Germany,3/9/20,43
Germany,3/10/20,41
Germany,3/11/20,54
Germany,3/12/20,51
Germany,3/13/20,43
Germany,3/14/20,40
Germany,3/15/20,43
Germany,3/16/20,48
Germany,3/17/20,50
Germany,3/18/20,50
Germany,3/19/20,54
Germany,3/20/20,50
Germany,3/21/20,40
Germany,3/22/20,35
Germany,3/23/20,34
Germany,3/24/20,35
Germany,3/25/20,36
Germany,2/1/20,51
Germany,2/2/20,43
Germany,2/3/20,45
Germany,2/4/20,41
Germany,2/5/20,38
Germany,2/6/20,43
Germany,2/7/20,42
Germany,2/8/20,41
Germany,2/9/20,49
Germany,2/10/20,43
Germany,2/11/20,39
Germany,2/12/20,38
Germany,2/13/20,37
Germany,2/14/20,40
Germany,2/15/20,47
Germany,2/16/20,56
Germany,2/17/20,48
Germany,2/18/20,44
Germany,2/19/20,42
Germany,2/20/20,43
Germany,2/21/20,43
Germany,2/22/20,46
Germany,2/23/20,41
Germany,2/24/20,41
Germany,2/25/20,43
Germany,2/26/20,39
Germany,2/27/20,39
Germany,2/28/20,42
Germany,2/29/20,47
Germany,3/1/20,44
Germany,3/2/20,45
Germany,3/3/20,42
Germany,3/4/20,40
Germany,3/5/20,41
Germany,3/6/20,39
Germany,3/7/20,41
Germany,3/8/20,48
Germany,3/9/20,47
Germany,3/10/20,46
Germany,3/11/20,49
Germany,3/12/20,46
Germany,3/13/20,42
Germany,3/14/20,44
Germany,3/15/20,51
Germany,3/16/20,49
Germany,3/17/20,49
Germany,3/18/20,51
Germany,3/19/20,46
Germany,3/20/20,44
Germany,3/21/20,40
Germany,3/22/20,39
Germany,3/23/20,39
Germany,3/24/20,42
Germany,3/25/20,44
Germany,2/3/20,48
Germany,2/4/20,41
Germany,2/5/20,38
Germany,2/6/20,41
Germany,2/7/20,40
Germany,2/10/20,44
Germany,2/11/20,40
Germany,2/12/20,40
Germany,2/13/20,37
Germany,2/14/20,42
Germany,2/17/20,47
Germany,2/18/20,44
Germany,2/19/20,42
Germany,2/20/20,46
Germany,2/21/20,41
Germany,2/24/20,40
Germany,2/25/20,45
Germany,2/26/20,38
Germany,2/27/20,38
Germany,2/28/20,38
Germany,3/2/20,44
Germany,3/3/20,42
Germany,3/4/20,41
Germany,3/5/20,42
Germany,3/6/20,37
Germany,3/9/20,46
Germany,3/10/20,47
Germany,3/11/20,49
Germany,3/12/20,48
Germany,3/13/20,42
Germany,3/16/20,51
Germany,3/17/20,49
Germany,3/18/20,53
Germany,3/19/20,47
Germany,3/20/20,43
Germany,3/23/20,38
Germany,3/24/20,40
Germany,3/25/20,42
Germany,2/1/20,49
Germany,2/2/20,44
Germany,2/3/20,44
Germany,2/4/20,33
Germany,2/5/20,31
Germany,2/6/20,31
Germany,2/7/20,34
Germany,2/8/20,37
Germany,2/9/20,44
Germany,2/10/20,40
Germany,2/11/20,34
Germany,2/12/20,34
Germany,2/13/20,34
Germany,2/14/20,37
Germany,2/15/20,41
Germany,2/16/20,49
Germany,2/17/20,42
Germany,2/18/20,38
Germany,2/19/20,35
Germany,2/20/20,36
Germany,2/21/20,36
Germany,2/22/20,42
Germany,2/23/20,46
Germany,2/24/20,36
Germany,2/25/20,42
Germany,2/26/20,32
Germany,2/27/20,32
Germany,2/28/20,31
Germany,2/29/20,42
Germany,3/1/20,41
Germany,3/2/20,41
Germany,3/3/20,36
Germany,3/4/20,33
Germany,3/5/20,38
Germany,3/6/20,38
Germany,3/7/20,36
Germany,3/8/20,38
Germany,3/9/20,41
Germany,3/10/20,37
Germany,3/11/20,49
Germany,3/12/20,47
Germany,3/13/20,40
Germany,3/14/20,41
Germany,3/15/20,45
Germany,3/16/20,47
Germany,3/17/20,49
Germany,3/18/20,50
Germany,3/19/20,52
Germany,3/20/20,42
Germany,3/21/20,34
Germany,3/22/20,32
Germany,3/23/20,33
Germany,3/24/20,35
Germany,3/25/20,36
Germany,2/1/20,49
Germany,2/2/20,50
Germany,2/3/20,44
Germany,2/4/20,40
Germany,2/5/20,35
Germany,2/6/20,31
Germany,2/7/20,30
Germany,2/8/20,33
Germany,2/9/20,39
Germany,2/10/20,49
Germany,2/11/20,39
Germany,2/12/20,37
Germany,2/13/20,39
Germany,2/14/20,42
Germany,2/15/20,38
Germany,2/16/20,44
Germany,2/17/20,49
Germany,2/18/20,42
Germany,2/19/20,40
Germany,2/20/20,39
Germany,2/21/20,42
Germany,2/22/20,47
Germany,2/23/20,51
Germany,2/24/20,42
Germany,2/25/20,47
Germany,2/26/20,38
Germany,2/27/20,36
Germany,2/28/20,36
Germany,2/29/20,44
Germany,3/1/20,45
Germany,3/2/20,43
Germany,3/3/20,39
Germany,3/4/20,37
Germany,3/5/20,38
Germany,3/6/20,44
Germany,3/7/20,39
Germany,3/8/20,39
Germany,3/9/20,41
Germany,3/10/20,41
Germany,3/11/20,53
Germany,3/12/20,53
Germany,3/13/20,44
Germany,3/14/20,38
Germany,3/15/20,41
Germany,3/16/20,44
Germany,3/17/20,46
Germany,3/18/20,48
Germany,3/19/20,48
Germany,3/20/20,50
Germany,3/21/20,39
Germany,3/22/20,33
Germany,3/23/20,31
Germany,3/24/20,32
Germany,3/25/20,34
Germany,2/1/20,51
Germany,2/2/20,45
Germany,2/3/20,46
Germany,2/4/20,41
Germany,2/5/20,38
Germany,2/6/20,40
Germany,2/7/20,41
Germany,2/8/20,40
Germany,2/9/20,50
Germany,2/10/20,43
Germany,2/11/20,39
Germany,2/12/20,39
Germany,2/13/20,37
Germany,2/14/20,41
Germany,2/15/20,47
Germany,2/16/20,55
Germany,2/17/20,46
Germany,2/18/20,44
Germany,2/19/20,41
Germany,2/20/20,44
Germany,2/21/20,44
Germany,2/22/20,47
Germany,2/23/20,43
Germany,2/24/20,42
Germany,2/25/20,43
Germany,2/26/20,38
Germany,2/27/20,37
Germany,2/28/20,39
Germany,2/29/20,46
Germany,3/1/20,44
Germany,3/2/20,43
Germany,3/3/20,42
Germany,3/4/20,39
Germany,3/5/20,42
Germany,3/6/20,40
Germany,3/7/20,43
Germany,3/8/20,48
Germany,3/9/20,46
Germany,3/10/20,48
Germany,3/11/20,51
Germany,3/12/20,46
Germany,3/13/20,41
Germany,3/14/20,40
Germany,3/15/20,50
Germany,3/16/20,49
Germany,3/17/20,47
Germany,3/18/20,52
Germany,3/19/20,47
Germany,3/20/20,44
Germany,3/21/20,39
Germany,3/22/20,38
Germany,3/23/20,37
Germany,3/24/20,39
Germany,3/25/20,41
Germany,2/1/20,51
Germany,2/2/20,50
Germany,2/3/20,44
Germany,2/4/20,40
Germany,2/5/20,34
Germany,2/6/20,30
Germany,2/7/20,31
Germany,2/8/20,33
Germany,2/9/20,42
Germany,2/10/20,49
Germany,2/11/20,39
Germany,2/12/20,38
Germany,2/13/20,39
Germany,2/14/20,41
Germany,2/15/20,38
Germany,2/16/20,47
Germany,2/17/20,49
Germany,2/18/20,41
Germany,2/19/20,39
Germany,2/20/20,40
Germany,2/21/20,41
Germany,2/22/20,46
Germany,2/23/20,50
Germany,2/24/20,44
Germany,2/25/20,46
Germany,2/26/20,37
Germany,2/27/20,35
Germany,2/28/20,36
Germany,2/29/20,46
Germany,3/1/20,45
Germany,3/2/20,42
Germany,3/3/20,38
Germany,3/4/20,36
Germany,3/5/20,39
Germany,3/6/20,42
Germany,3/7/20,38
Germany,3/8/20,38
Germany,3/9/20,41
Germany,3/10/20,40
Germany,3/11/20,53
Germany,3/12/20,53
Germany,3/13/20,42
Germany,3/14/20,37
Germany,3/15/20,42
Germany,3/16/20,45
Germany,3/17/20,47
Germany,3/18/20,49
Germany,3/19/20,50
Germany,3/20/20,51
Germany,3/21/20,39
Germany,3/22/20,34
Germany,3/23/20,30
Germany,3/24/20,32
Germany,3/25/20,33
Germany,2/1/20,51
Germany,2/2/20,45
Germany,2/3/20,45
Germany,2/4/20,41
Germany,2/5/20,38
Germany,2/6/20,40
Germany,2/7/20,42
Germany,2/8/20,40
Germany,2/9/20,48
Germany,2/10/20,45
Germany,2/11/20,40
Germany,2/12/20,39
Germany,2/13/20,38
Germany,2/14/20,38
Germany,2/15/20,41
Germany,2/16/20,53
Germany,2/17/20,49
Germany,2/18/20,44
Germany,2/19/20,42
Germany,2/20/20,41
Germany,2/21/20,43
Germany,2/22/20,47
Germany,2/23/20,44
Germany,2/24/20,41
Germany,2/25/20,46
Germany,2/26/20,36
Germany,2/27/20,37
Germany,2/28/20,38
Germany,2/29/20,44
Germany,3/1/20,44
Germany,3/2/20,42
Germany,3/3/20,40
Germany,3/4/20,38
Germany,3/5/20,40
Germany,3/6/20,42
Germany,3/7/20,39
Germany,3/8/20,41
Germany,3/9/20,44
Germany,3/10/20,42
Germany,3/11/20,49
Germany,3/12/20,49
Germany,3/13/20,42
Germany,3/14/20,36
Germany,3/15/20,41
Germany,3/16/20,47
Germany,3/17/20,47
Germany,3/18/20,51
Germany,3/19/20,50
Germany,3/20/20,45
Germany,3/21/20,39
Germany,3/22/20,34
Germany,3/23/20,33
Germany,3/24/20,35
Germany,3/25/20,38
Germany,2/1/20,51
Germany,2/2/20,45
Germany,2/3/20,47
Germany,2/4/20,38
Germany,2/5/20,34
Germany,2/6/20,35
Germany,2/7/20,37
Germany,2/8/20,39
Germany,2/9/20,48
Germany,2/10/20,43
Germany,2/11/20,37
Germany,2/12/20,37
Germany,2/13/20,36
Germany,2/14/20,40
Germany,2/15/20,43
Germany,2/16/20,54
Germany,2/17/20,45
Germany,2/18/20,42
Germany,2/19/20,39
Germany,2/20/20,40
Germany,2/21/20,40
Germany,2/22/20,45
Germany,2/23/20,48
Germany,2/24/20,41
Germany,2/25/20,45
Germany,2/26/20,35
Germany,2/27/20,35
Germany,2/28/20,36
Germany,2/29/20,44
Germany,3/1/20,44
Germany,3/2/20,43
Germany,3/3/20,39
Germany,3/4/20,36
Germany,3/5/20,40
Germany,3/6/20,41
Germany,3/7/20,38
Germany,3/8/20,42
Germany,3/9/20,44
Germany,3/10/20,44
Germany,3/11/20,50
Germany,3/12/20,49
